Tweet_count,Username,Text,Created At,Retweets,Likes
1,Harteerath Singh Ahluwalia,This level of ignorance and discrimination was unexpected from @airindia. This isn’t just about me—it’s my responsibility to ensure no Sikh faces this again. #AirIndia must take immediate measures to educate its crew and prevent such incidents in the future. https://t.co/VHnfx4FgAj,Sun Feb 16 11:33:14 +0000 2025,65,387
2,Prof A D Vyas,"Flew @airindia from BOM to JAI. Excellent service,on time, great hospitality, professional system, compliment upgrade,what else a customer needs,thanks #AirIndia for making our Live’s better,,Ciao. #AIFans #FlyAI https://t.co/7YZ8fvtB5Y",Thu Feb 13 06:56:20 +0000 2025,0,5
3,Aakash Jayasankaran,"Flew @AirIndia from Coimbatore to Delhi first time after the Tata takeover. 

Everything was top-notch - from baggage handling to hospitality, food, and comfortable seats! 🤩  

#AIFans #FlyAI https://t.co/1BYZ7uwnr3",Thu Feb 13 01:33:19 +0000 2025,0,17
4,Mihir Meghani,Flew @airindia from SFO to DEL to attend the @MahaKumbh_2025  @MahaaKumbh @KumbhMela2025  with @tanvijhaveri  &amp; @HinduAmerican leaders @SuhagAShukla @rajeevstweets &amp; @sewausa leader @rakhi_i . Air India has been India's national airline. It is the one airline where I always get https://t.co/X1HnEiiK4i,Wed Feb 12 02:15:44 +0000 2025,0,10
5,Madhav Bhatiya,"Big shoutout to the checkin staff at the premium economy desk of @airindia at Chandigarh airport.
SimranJeet Kaur, Vandana and Puneet were very helpful and sorted everything for my 1 year old daughter and family. Very professional and courteous.Very very impressed. https://t.co/M1h6AzErmh",Thu Feb 13 13:18:53 +0000 2025,0,3
6,Anu Modi Mukarji,"What is happening to @airindia !!?? Pathetic Booking service. 
They don’t know if they are flying or not !! 

They keep Changing my ticket &amp; flight …
Shocking 
 @JM_Scindia @TataCompanies @campbellwilson",Sun Feb 09 11:33:21 +0000 2025,4,5
7,Samar Ahmed,Thanks @airindia for the surprise upgrade and amazing hospitality. Made my day 🙌 https://t.co/chFeTi9GVk,Mon Feb 10 13:54:19 +0000 2025,0,3
8,Siddharth Dhamija,".@airindia Vistara is becoming a reality, and it's a complex transition. While I appreciate the efforts made by @airindia crew on former Vistara routes, A more attentive service attitude, genuine smiles, and empathy in addressing customer concerns would enhance the experience.",Sat Feb 15 05:16:55 +0000 2025,0,2
9,Kanpur Updates,"Lucknow Airport will be closed for nearly 5 months between 10AM and 6PM from 1st Mar to 15th July due to runway maintenance.
This is a good opportunity for airlines to start operating from KNU.
@airindia @flyspicejet @AirIndiaX @OfficialStarAir @IndiGo6E @AirportKanpur @aaiRedNR https://t.co/gWJey80Tsq",Sun Feb 09 06:03:10 +0000 2025,35,228
10,Kashmeera C.W,Flew @airindia from GOX to BOM. great to see a dedicated desk for star allianz members at mopa airport.  very impressive . #AIFans #FlyAI,Thu Feb 13 03:16:39 +0000 2025,0,3
11,Griffin,"400+ lives. 30 seconds. A catastrophic failure. A test of pure skill, experience &amp; composure.

On Dec 3, 2019, @airindia AI-965, a Boeing 747-400 (VT-EVA), was just seconds from landing in Hyderabad when both left-wing ailerons jammed UP at 300 feet.

For those unfamiliar—aileron https://t.co/VJOc4VUDP1",Tue Feb 11 03:50:37 +0000 2025,70,386
12,Teja Pamganamamula,"https://t.co/45iRgaSPEh

My review of @airindia 's new A350 business class. #airindia",Sun Feb 16 19:46:24 +0000 2025,0,2
13,Apoorv Gupta,"Flew @airindia from BLR to DEL. Angels do exist. Boarded flight AI2802 (BLR to DEL) on 15th Feb. Flight attendant Roshini tried everything to pacify my son who had mild fever, and took care of him as if her own. Really appreciate her efforts, and good will. #AIFans #FlyAI",Sun Feb 16 03:43:15 +0000 2025,1,5
14,GurlinSingh Abrol,@HarteerathSingh @airindia This individual must be on a Power trip or needs serious education and retraining?,Sun Feb 16 14:45:11 +0000 2025,0,4
15,RaMmYy MUFC,"@ThamizhachiTh @airindia Hi Mam,
Please fix some of the roads in ur constituency. 

- Perumbakkam advent church junction to jalladianpet road. 
- Medavakkam to Velachery via pallikaranai is too much traffic in almost all the time. Please help in expanding the road after shivan temple.",Fri Feb 14 19:02:47 +0000 2025,0,3
16,Kumar Shubham,"It was an incredible journey and experience traveling from Delhi to Mumbai via @airindia flight. I thoroughly enjoyed the staff and services, particularly the complimentary breakfast, which was incredibly delicious and included coffee! Thank you so much for the fantastic service. https://t.co/U32JOGJZaT",Sun Feb 16 16:59:03 +0000 2025,0,9
17,Karthikeyan Balu,"@UpdatesChennai @ThamizhachiTh @airindia Wrong side driving everywhere in Medavakkam, more traffic cops to be deployed!
I see traffic cops only to get bribes, but not to regulate/educate traffic.",Fri Feb 14 10:39:02 +0000 2025,0,10
18,abhinay deshpande/అభినయ్ देशपांडे,"Today I travelled on an @airindia flight and experienced an unfortunate incident where my trolley's handle was broken due to mishandling. I kindly request your assistance in resolving this matter at the earliest.  

@RamMNK @MoCA_GoI #AirIndia https://t.co/wdGyANKnQR",Sat Feb 15 08:48:25 +0000 2025,1,1
19,D Prasanth Nair,"Little care matters most. That's what Tata group is all about.
Saw this in the @airindia flight to Prayagraj.

All passengers were offered ""food for fasting"". This included sabudhana vada, curd based curry, and roti made of Singhara aata. They made it well and for me, it's a https://t.co/zjDIoty3kU",Mon Feb 10 03:44:20 +0000 2025,13,58
