1,Prof A D Vyas,"Flew @airindia from BOM to JAI. Excellent service,on time, great hospitality, professional system, compliment upgrade,what else a customer needs,thanks #AirIndia for making our Live’s better,,Ciao. #AIFans #FlyAI https://t.co/7YZ8fvtB5Y",Thu Feb 13 06:56:20 +0000 2025,0,5,"https://pbs.twimg.com/media/Gjpiw73WQAAO8hg.jpg, https://pbs.twimg.com/media/Gjpiw77W4AAyzSi.jpg"
2,Harteerath Singh Ahluwalia,This level of ignorance and discrimination was unexpected from @airindia. This isn’t just about me—it’s my responsibility to ensure no Sikh faces this again. #AirIndia must take immediate measures to educate its crew and prevent such incidents in the future. https://t.co/VHnfx4FgAj,Sun Feb 16 11:33:14 +0000 2025,73,430,https://pbs.twimg.com/media/Gj5-6TJWYAAlRuQ.jpg
3,Mihir Meghani,Flew @airindia from SFO to DEL to attend the @MahaKumbh_2025  @MahaaKumbh @KumbhMela2025  with @tanvijhaveri  &amp; @HinduAmerican leaders @SuhagAShukla @rajeevstweets &amp; @sewausa leader @rakhi_i . Air India has been India's national airline. It is the one airline where I always get https://t.co/X1HnEiiK4i,Wed Feb 12 02:15:44 +0000 2025,0,10,"https://pbs.twimg.com/media/GjjY9SdaIAU8qF4.jpg, https://pbs.twimg.com/media/GjjY9UqaIAExER6.jpg, https://pbs.twimg.com/media/GjjY9WOaIAAvAOR.jpg, https://pbs.twimg.com/media/GjjY9XfaMAATMHw.jpg"
4,Anu Modi Mukarji,"What is happening to @airindia !!?? Pathetic Booking service. 
They don’t know if they are flying or not !! 

They keep Changing my ticket &amp; flight …
Shocking 
 @JM_Scindia @TataCompanies @campbellwilson",Sun Feb 09 11:33:21 +0000 2025,4,5,No Media
5,Madhav Bhatiya,"Big shoutout to the checkin staff at the premium economy desk of @airindia at Chandigarh airport.
SimranJeet Kaur, Vandana and Puneet were very helpful and sorted everything for my 1 year old daughter and family. Very professional and courteous.Very very impressed. https://t.co/M1h6AzErmh",Thu Feb 13 13:18:53 +0000 2025,0,3,https://pbs.twimg.com/media/Gjq6U7pW8AASBa5.jpg
6,Kumar Shubham,"It was an incredible journey and experience traveling from Delhi to Mumbai via @airindia flight. I thoroughly enjoyed the staff and services, particularly the complimentary breakfast, which was incredibly delicious and included coffee! Thank you so much for the fantastic service. https://t.co/U32JOGJZaT",Sun Feb 16 16:59:03 +0000 2025,0,9,"https://pbs.twimg.com/media/Gj7Je_3agAA8t5m.jpg, https://pbs.twimg.com/media/Gj7Je_2bgAEENup.jpg, https://pbs.twimg.com/media/Gj7Je_3bAAADnnn.jpg, https://pbs.twimg.com/media/Gj7Je_4bwAEi5pO.jpg"
7,Kashmeera C.W,Flew @airindia from GOX to BOM. great to see a dedicated desk for star allianz members at mopa airport.  very impressive . #AIFans #FlyAI,Thu Feb 13 03:16:39 +0000 2025,0,3,No Media
8,Griffin,"400+ lives. 30 seconds. A catastrophic failure. A test of pure skill, experience &amp; composure.

On Dec 3, 2019, @airindia AI-965, a Boeing 747-400 (VT-EVA), was just seconds from landing in Hyderabad when both left-wing ailerons jammed UP at 300 feet.

For those unfamiliar—aileron https://t.co/VJOc4VUDP1",Tue Feb 11 03:50:37 +0000 2025,70,386,"https://pbs.twimg.com/media/GjekgJWXMAA83uq.jpg, https://pbs.twimg.com/media/GjekgJWWcAA27LL.jpg, https://pbs.twimg.com/media/GjekgJWXwAEOaBl.jpg, https://pbs.twimg.com/media/GjekgJZWQAAbXK_.jpg"
9,Samar Ahmed,Thanks @airindia for the surprise upgrade and amazing hospitality. Made my day 🙌 https://t.co/chFeTi9GVk,Mon Feb 10 13:54:19 +0000 2025,0,3,https://pbs.twimg.com/media/GjblqT_WMAEfoGo.jpg
10,sudhir mishra,"Flew @airindia from BLR to DEL. Polite ground staff, welcoming onboard hostess, clean seats and tasty food. Proud of Air India transformation. Truly Indian carrier . #AIFans #FlyAI",Fri Feb 14 06:03:55 +0000 2025,0,1,No Media
11,Raman,"@ThamizhachiTh @airindia Unfortunately, you represent my constituency.

All you are worried about is downgrading from 'Business Class'? Get used to living the life of an ordinary citizen.

Do you remember, how Chennai had to suffer during the Cyclone Michaung in December 2023? 

YOU DID NOTHING. 
I",Fri Feb 14 04:32:34 +0000 2025,40,313,No Media
12,Aakash Jayasankaran,"Flew @AirIndia from Coimbatore to Delhi first time after the Tata takeover. 

Everything was top-notch - from baggage handling to hospitality, food, and comfortable seats! 🤩  

#AIFans #FlyAI https://t.co/1BYZ7uwnr3",Thu Feb 13 01:33:19 +0000 2025,0,17,"https://pbs.twimg.com/media/GjoY0vOXIAAjWMn.jpg, https://pbs.twimg.com/media/GjoY0vVW8AAwJo-.jpg, https://pbs.twimg.com/media/GjoY0vPWEAAAKEJ.jpg, https://pbs.twimg.com/media/GjoY0vTW8AAMFgW.jpg"
13,Siddharth Dhamija,".@airindia Vistara is becoming a reality, and it's a complex transition. While I appreciate the efforts made by @airindia crew on former Vistara routes, A more attentive service attitude, genuine smiles, and empathy in addressing customer concerns would enhance the experience.",Sat Feb 15 05:16:55 +0000 2025,0,2,No Media
14,Roopam Kapoor,"what’s happening with ⁦@airindia⁩. Torn holders, broken business class seat, ( last flight I needed blankets to ensure I am not sinking) And no food. Five business class passengers  had nothing as food asked for.was not available. Pull up your socks pl. https://t.co/v4EDRK0n8O",Sun Feb 09 13:10:44 +0000 2025,0,1,https://pbs.twimg.com/media/GjWSFC7W8AEGWNi.jpg
15,VT-VLO,"Find someone who looks at you the way these @airindia A350-900 look at each other.
Happy #ValentinesDay
📸 - @Frenchpainter https://t.co/goBU03fwfx",Fri Feb 14 09:26:53 +0000 2025,14,392,https://pbs.twimg.com/media/GjvO0c3aEAA9s_j.jpg
16,RaMmYy MUFC,"@ThamizhachiTh @airindia Hi Mam,
Please fix some of the roads in ur constituency. 

- Perumbakkam advent church junction to jalladianpet road. 
- Medavakkam to Velachery via pallikaranai is too much traffic in almost all the time. Please help in expanding the road after shivan temple.",Fri Feb 14 19:02:47 +0000 2025,0,3,No Media
17,Jaspreet Bindra The Tech Whisperer,"Oh my God, @airindia ! Your new-fangled, much ballyhooed website is so, so broken.

I try not to vent, but I dread every time I go there. I discover something absolutely silly and broken every time.

Today it asks me to pay for a seat despite knowing I am a platinum subscriber",Thu Feb 13 07:26:09 +0000 2025,0,0,No Media
18,Apoorv Gupta,"Flew @airindia from BLR to DEL. Angels do exist. Boarded flight AI2802 (BLR to DEL) on 15th Feb. Flight attendant Roshini tried everything to pacify my son who had mild fever, and took care of him as if her own. Really appreciate her efforts, and good will. #AIFans #FlyAI",Sun Feb 16 03:43:15 +0000 2025,1,5,No Media
19,abhinay deshpande/అభినయ్ देशपांडे,"Today I travelled on an @airindia flight and experienced an unfortunate incident where my trolley's handle was broken due to mishandling. I kindly request your assistance in resolving this matter at the earliest.  

@RamMNK @MoCA_GoI #AirIndia https://t.co/wdGyANKnQR",Sat Feb 15 08:48:25 +0000 2025,1,1,https://pbs.twimg.com/amplify_video_thumb/1890684507650400256/img/xYavFWQlgAtJbF68.jpg
